"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.883965600E-1,-5.778905004E-2,1.219065860E-1,2.647970803E-3
7.909170280E-1,-5.126071721E-2,1.199913844E-1,1.865237369E-3
7.933924500E-1,-4.338342324E-2,1.188422665E-1,1.332312386E-4
7.959074240E-1,-3.632216528E-2,1.166606024E-1,-1.049195998E-3
7.984031120E-1,-3.205876797E-2,1.155447885E-1,-1.448889729E-3
8.009052270E-1,-2.889452502E-2,1.113813147E-1,-2.231623279E-3
8.033931010E-1,-2.558039874E-2,1.088166162E-1,-5.529096350E-3
8.058828890E-1,-2.160011418E-2,1.059687957E-1,-6.977986079E-3
8.083826840E-1,-1.988476329E-2,1.034040973E-1,-9.892419912E-3
8.108780460E-1,-1.845252700E-2,9.977354109E-2,-1.437231991E-2
8.133280790E-1,-1.342304703E-2,9.492725879E-2,-1.635413431E-2
8.158663270E-1,-9.059724398E-3,9.019754827E-2,-2.189988457E-2
8.183235210E-1,-3.230857430E-3,8.520137519E-2,-2.479766496E-2
8.208674670E-1,4.080206621E-3,8.138763160E-2,-2.822836861E-2
8.233533480E-1,1.165773347E-2,7.585853338E-2,-3.021018393E-2
8.258225850E-1,2.243280970E-2,7.174502313E-2,-3.482331336E-2
8.283417910E-1,3.160911053E-2,6.766481698E-2,-3.718816862E-2
8.308129420E-1,3.797090426E-2,6.146956235E-2,-3.663859144E-2
8.333001650E-1,4.499885067E-2,5.554077402E-2,-3.742132336E-2
8.358006130E-1,4.991175234E-2,5.124406517E-2,-3.435700387E-2
8.383236440E-1,5.322587863E-2,4.776339978E-2,-3.170903400E-2
8.407930440E-1,5.292610824E-2,4.376646131E-2,-2.904441021E-2
8.433131050E-1,5.129402503E-2,3.847052157E-2,-2.199980803E-2
8.458088330E-1,4.418281093E-2,3.507312387E-2,-1.682044379E-2
8.483037460E-1,3.587251157E-2,3.115945682E-2,-1.337308530E-2
8.507626900E-1,2.438131720E-2,2.927756496E-2,-5.412518978E-3
8.532930450E-1,1.142457873E-2,2.792859823E-2,-8.993108640E-4
8.557890170E-1,-3.946975339E-3,2.726244181E-2,3.730474738E-3
8.582392930E-1,-2.076741867E-2,2.689605579E-2,9.176301770E-3
8.607781930E-1,-4.131833836E-2,2.974387445E-2,1.234054379E-2
8.632455600E-1,-5.933786184E-2,3.042668477E-2,1.538820844E-2
8.657683450E-1,-7.922262698E-2,3.312461823E-2,1.698698290E-2
8.682638290E-1,-9.909073263E-2,3.742132336E-2,1.737002283E-2
