"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.006929140E-1,-5.310930312E-2,-8.468510956E-2,-4.989510030E-2
7.031874200E-1,-5.069448799E-2,-8.430206776E-2,-4.937882721E-2
7.056568620E-1,-4.761351272E-2,-8.207044005E-2,-5.255972221E-2
7.081772070E-1,-4.116845131E-2,-7.852315903E-2,-5.097760260E-2
7.106722830E-1,-3.487327695E-2,-7.724080980E-2,-5.284284055E-2
7.131414810E-1,-2.588016726E-2,-7.224463671E-2,-5.432503670E-2
7.156623550E-1,-1.821937226E-2,-6.616596133E-2,-5.592381209E-2
7.181565770E-1,-9.209609590E-3,-5.863839760E-2,-5.542419478E-2
7.206517760E-1,1.998468651E-4,-5.137729645E-2,-5.848851427E-2
7.231466900E-1,6.561638322E-3,-4.156814516E-2,-6.012059748E-2
7.256417250E-1,1.493855286E-2,-3.002699092E-2,-6.188591197E-2
7.281363130E-1,2.184992284E-2,-1.715352200E-2,-6.443395466E-2
7.306441670E-1,2.784532867E-2,-4.529862199E-3,-6.579957902E-2
7.331264260E-1,3.290811554E-2,1.090830751E-2,-6.480034441E-2
7.356220720E-1,3.397396579E-2,2.598009072E-2,-6.616596133E-2
7.380973730E-1,3.677182272E-2,4.130168259E-2,-6.594946235E-2
7.406116960E-1,3.757121041E-2,5.570731312E-2,-6.639911979E-2
7.430809750E-1,3.498985246E-2,6.813112646E-2,-6.776473671E-2
7.456011170E-1,3.190888092E-2,8.110451698E-2,-6.594946235E-2
7.480969670E-1,2.611332200E-2,9.249578416E-2,-6.638246775E-2
7.505910660E-1,2.138361335E-2,1.010725498E-1,-6.679881364E-2
7.530863460E-1,1.450555120E-2,1.099324226E-1,-6.708192825E-2
7.555347920E-1,9.209609590E-3,1.153116375E-1,-6.604938954E-2
7.580758880E-1,4.962863866E-3,1.177431047E-1,-6.631585211E-2
7.605712500E-1,-8.993108640E-4,1.207241565E-1,-6.884723902E-2
7.630682390E-1,-3.847052110E-3,1.196749583E-1,-7.042936236E-2
7.655614440E-1,-7.460949477E-3,1.184925362E-1,-7.174502313E-2
7.680512710E-1,-8.976454847E-3,1.148952916E-1,-7.464279979E-2
7.705505800E-1,-8.759954013E-3,1.095493883E-1,-7.729077339E-2
7.730460230E-1,-5.612365901E-3,1.024381667E-1,-7.963897288E-2
7.755212420E-1,-1.998468651E-4,9.436102211E-2,-8.385241032E-2
7.780350360E-1,3.863706021E-3,8.698334545E-2,-8.873200417E-2
7.804898700E-1,1.139127091E-2,7.704096287E-2,-8.936485648E-2
7.830253920E-1,2.095061168E-2,6.987978518E-2,-9.159647673E-2
7.855205100E-1,2.941079624E-2,5.887155235E-2,-9.276224673E-2
7.879947940E-1,4.030244797E-2,5.102756619E-2,-9.512710571E-2
7.905092390E-1,5.011159927E-2,4.348334670E-2,-9.509379417E-2
7.929799410E-1,6.033709645E-2,3.592247143E-2,-9.745865315E-2
7.954745710E-1,6.962997466E-2,2.944410406E-2,-9.452756494E-2
7.979953640E-1,7.880628109E-2,2.444793284E-2,-9.386140853E-2
8.004693210E-1,8.413552493E-2,2.201646194E-2,-9.119678289E-2
8.029843770E-1,8.866538852E-2,1.851914264E-2,-8.628387749E-2
8.054555690E-1,9.426110238E-2,1.568797790E-2,-8.203713596E-2
8.079744070E-1,9.519372135E-2,1.583786309E-2,-7.872300595E-2
8.104701350E-1,9.414452314E-2,1.640409604E-2,-7.091232389E-2
8.129387230E-1,9.121343493E-2,1.685375161E-2,-6.681546569E-2
8.154330260E-1,8.628387749E-2,1.863572001E-2,-6.151952595E-2
8.179541440E-1,7.842323929E-2,1.846918091E-2,-5.317591876E-2
8.204494240E-1,6.801454723E-2,2.096726559E-2,-4.946209863E-2
8.229447050E-1,5.868836120E-2,2.306565829E-2,-4.496554285E-2
8.254385190E-1,4.696401209E-2,2.583020553E-2,-4.125172272E-2
8.279067000E-1,3.455685079E-2,2.794525214E-2,-3.768778592E-2
8.304285100E-1,2.161676809E-2,2.899444848E-2,-3.583920375E-2
8.329245210E-1,9.093032219E-3,3.190888092E-2,-3.450689092E-2
8.354185400E-1,-4.379977006E-3,3.427373618E-2,-3.439031169E-2
8.379254990E-1,-1.545482408E-2,3.690505400E-2,-3.399062157E-2
